#{"t_start": 1702945220.267862, "env_id": "LunarLander-v2"}
r,l,t
-159.634871,357,52.118011
-174.925903,250,52.271121
-129.819127,1000,52.860092
-422.006105,735,53.372774
-257.260994,896,54.066402
-34.146643,1000,103.912148
55.709436,1000,104.510095
22.064292,1000,105.170139
18.606546,1000,105.925532
40.755718,1000,106.51587
-83.887045,1000,155.135877
-132.197308,1000,155.927046
-113.849019,1000,156.733786
-31.307344,1000,157.5311
-116.396198,1000,158.308064
-176.974163,1000,208.600571
-195.336874,1000,209.179958
-195.660751,1000,209.757504
-175.355227,1000,210.33762
-129.901391,1000,210.916844
-168.735214,238,264.915848
-152.107301,142,264.998941
-138.57482,135,265.084677
-145.114028,175,265.188502
-180.607796,187,265.29785
-28.326396,1000,314.632696
-41.801522,1000,315.213734
-27.615167,1000,315.881384
-15.989864,1000,316.644325
-52.729071,1000,317.418155
-132.914782,57,365.03477
-69.95156,104,365.095036
-85.868756,78,365.139329
-56.264945,83,365.194834
-76.321699,370,365.411765
-109.82256,422,411.926114
280.439239,306,412.103733
131.06628,531,412.41362
-24.980813,351,412.617379
129.840134,464,412.909183
132.205752,562,462.502926
130.465906,360,462.775102
-135.194664,293,462.993665
-102.566006,167,463.123859
-89.713565,162,463.253238
-58.122795,1000,510.527289
198.809285,563,510.874733
219.443678,756,511.310782
-127.763494,153,511.399182
-170.640473,257,511.550278
212.84873,584,558.188551
-40.429481,670,558.586168
198.633751,560,558.915558
-31.247166,522,559.225643
186.996902,705,559.639875
184.085814,776,609.753211
-58.018617,1000,610.532783
202.504318,754,611.1585
-43.464708,1000,611.981172
143.072642,994,612.776101
115.513839,1000,658.790637
102.445559,1000,659.392526
116.618672,1000,660.002458
204.424384,454,660.268814
24.5151,196,660.388168
-50.129275,1000,706.789545
-52.036537,1000,707.37133
-48.177257,1000,707.952489
-35.209905,1000,708.505814
-32.07336,1000,709.186483
-6.97575,369,757.396902
137.517449,1000,757.995361
107.005514,1000,758.600339
103.141229,1000,759.1979
121.960838,1000,759.806565
265.681341,408,804.563251
249.995849,342,804.776711
236.203922,368,804.995266
252.772151,386,805.227261
87.537058,1000,806.012373
-241.018355,436,901.874466
-76.528219,382,902.290553
-241.64579,567,902.930864
-782.587515,732,903.789039
-395.89156,1000,904.639444
163.162567,611,933.559746
70.336265,1000,934.440471
172.824896,504,934.885265
3.519431,222,935.084593
6.485366,240,935.289235
5.166351,300,965.261611
125.407951,848,966.262945
19.344548,160,966.42259
103.714065,795,967.115843
-9.24268,336,967.410234
34.096369,170,996.734446
93.510665,152,996.868263
-142.337596,148,996.997019
36.103866,266,997.234171
46.851529,147,997.363276
216.302954,373,1026.765603
18.224177,274,1027.04003
-169.217536,201,1027.218545
209.266321,511,1027.660838
-57.187038,387,1028.002721
-15.636057,219,1063.666209
-119.918445,226,1063.861115
-45.252349,397,1064.191573
162.571155,459,1064.592523
196.434709,395,1064.936371
52.477393,1000,1094.744802
221.233007,482,1095.174903
163.989698,380,1095.508825
-45.467204,428,1095.876328
279.717332,243,1096.093505
232.082251,408,1126.582028
-2.679287,216,1126.768923
-132.959924,1000,1127.631237
14.144843,338,1127.929427
34.098853,286,1128.18488
210.743215,500,1159.112547
-13.178358,364,1159.541003
170.06138,591,1160.249179
-0.533407,244,1160.543161
-41.216255,301,1160.880673
-166.328553,152,1192.706951
15.249787,361,1193.016285
-167.713272,1000,1193.887599
73.788198,242,1194.096965
-6.480116,228,1194.315562
190.545601,557,1224.564842
202.241985,636,1225.123673
-44.099479,410,1225.489948
273.114418,492,1225.92446
-97.093323,160,1226.060888
23.749864,1000,1258.554287
1.548642,281,1258.801677
-27.026512,385,1259.137326
250.352468,279,1259.376562
1.84308,335,1259.702109
299.611329,283,1296.047866
-140.729644,144,1296.174038
-48.958797,291,1296.422107
250.215233,345,1296.737547
284.5853,353,1297.049133
-149.184661,1000,1336.732123
4.469105,256,1337.061177
-128.474551,215,1337.305754
-1.156122,193,1337.520515
-128.366798,1000,1338.74727
6.233872,301,1375.877867
251.716092,458,1376.283223
-44.856601,319,1376.560727
-34.26302,1000,1377.439756
-38.61064,170,1377.589313
248.850558,388,1415.506084
284.374542,292,1415.769336
46.918771,270,1416.010909
-67.995231,1000,1416.881042
56.716528,295,1417.134545
-1412.435937,302,1498.385496
-1227.45667,228,1498.640557
-292.004421,296,1498.970461
-1579.335209,380,1499.401788
-355.491655,122,1499.542935
-281.59591,115,1523.75212
-1480.99718,348,1524.05322
-1229.347796,298,1524.317507
-960.977672,260,1524.546026
-640.307472,183,1524.70515
-1070.93124,422,1552.952747
-611.551339,348,1553.254793
-883.74469,402,1553.593267
-1466.198077,550,1554.146344
-1193.644157,494,1554.700666
-1240.02396,947,1587.07476
-869.037443,765,1587.756996
-283.866168,438,1588.127731
-333.195561,360,1588.438629
-539.294977,499,1588.895725
-403.777435,431,1621.341325
-560.58442,587,1621.857426
-377.416406,463,1622.267594
-347.737213,377,1622.591394
-324.565692,436,1622.975118
-189.519132,396,1655.102681
-120.171794,269,1655.423999
-613.595633,890,1656.45341
-278.880248,478,1657.004448
-574.894275,864,1657.98261
-171.035311,1000,1691.899947
-162.899424,1000,1692.780131
-194.007881,1000,1693.655524
-154.963999,1000,1694.545927
-171.874137,1000,1695.410421
-72.731687,1000,1732.904537
-73.206217,1000,1733.785374
-156.069951,1000,1734.654604
-119.379633,1000,1735.525169
-116.251167,1000,1736.406456
-105.993982,1000,1771.369153
-49.940398,1000,1772.521335
-118.715507,1000,1773.65305
-113.543851,1000,1774.539469
-141.023458,756,1775.193477
-173.58285,932,1811.843177
-149.932592,866,1812.668281
-164.358027,978,1813.78191
-26.370246,1000,1814.95117
-3.223889,1000,1816.07647
-132.594095,733,1849.266055
-120.617736,516,1849.722215
-59.695545,1000,1850.589488
101.469845,851,1851.337468
-25.150037,1000,1852.215841
118.353955,991,1884.589776
-41.924916,1000,1885.72857
2.644344,1000,1886.92679
-78.358486,1000,1888.061288
98.692367,864,1889.002789
144.260408,992,1920.397878
79.855701,987,1921.264614
-142.80229,817,1921.99808
-57.676184,1000,1922.926616
92.72899,993,1923.820822
-22.791351,1000,1955.865705
20.557336,1000,1956.982535
-22.245908,1000,1958.14232
-7.920321,1000,1959.270208
197.572451,830,1960.234832
45.02394,930,1991.171343
-133.367747,864,1991.915937
49.936542,982,1992.772701
-53.290565,1000,1993.648173
112.269879,813,1994.352197
99.584649,857,2024.785056
-29.685936,1000,2025.660754
-44.658158,1000,2026.521096
-32.791276,1000,2027.397783
-53.985357,1000,2028.505605
